225 0 17
225 0 3
225 0357 2
225 0 5
225 0600 0
225 0650 2
225 0 7
225 0750 0
225 0750 0
225 0861 5
225 0955 7
225 0968 0
225 0980 11
225.354 0 3
227.381 01675 6
227.435 0553 14
228 0688 7
228 0835 6
229 0 10
229 0 10
229 0 10
229 0 19
229 0700 0
229 0789 10
229 0 8
229 0807 10
229 0850 7
229 0871 0
229 0878 5
229 0878 5
229 0914 10
229.9 0 5
229.9 0875 5
230 0 3
230 0 4
230 0875 10
231.369 0 0
232 0 0
232 0812 6
232.5 0600 9
234 0600 0
234 0600 0
234.9 0 10
234.9 0685 0
235 0 10
235 01150 7
235 0400 0
235 0400 2
235 0807 10
235 0836 7
235 0 9
236 01000 0
237.3 0800 0
237.5 0 5
237.5 0776 0
238 0876 5
238 0876 5
239 0 0
239 0 0
239 0 0
239 0 0
239 0 0
239 0 10
239 01000 5
239 01091 3
239 0 11
239 0 13
239 0 19
239 0 3
239 0 6
239 0748 0
239 0 8
239 0850 0
239 0932 10
239 0941 10
239 0960 0
239.5 0 2
239.9 0 2
239.9 0 2
240 01200 0
240 01379 20
240 01379 20
240 0 2
240 0 2
240 0 4
240 0 5
240 0803 5
240 0850 6
240 0888 0
240 0957 2
240.3 0620 0
241 0812 6
241 0865 9
241.9 0 6
241.9 0 6
243 01032 0
243 0 2
243 0830 20
244 0 14
244 0803 5
244.9 01100 11
244.9 0 8
245 01860 6
245 0 19
245 0752 7
245 0821 5
245 0 9
245 0950 7
247 0 20
247 0803 5
247 0862 0
247.495 0785 5
248 0 14
249 0 0
249 0 0
249 01020 7
249 01080 6
249 01168 0
249 01350 0
249 0 16
249 0 16
249 0 17
249 0 2
249 0 2
249 0 2
249 0 4
249 0 8
249 0900 5
249 0964 6
249 0970 0
249.5 0 6
249.9 01013 20
249.9 01100 11
249.9 01200 6
249.9 0 13
249.9 01306 0
249.9 0 6
249.9 0896 12
249.9 0900 5
249.9 0950 0
249.999 01200 5
249.999 0 6
250 0 0
250 01066 0
250 01066 0
250 01148 5
250 02680 6
250 0 6
250 0636 6
250 0850 2
250 0884 0
250 0900 0
250 0932 6
251.75 0595 0
252 0 18
253.75 0775 7
254.8 0 13
255 0 0
255 0 0
255 01415 0
255 0510 2
255 0767 5
255 0877 5
256.5 02400 0
256.5 0597 14
257.5 0653 5
258 0 10
258 0932 10
258.282 0800 20
259 01026 19
259 0 16
259 0 2
259 0 2
259 0 2
259 0 2
259 0450 0
259 0 5
259 0 5
259 0826 5
259 0866 5
259 0866 5
259 0932 10
259 0941 5
259.2 0767 0
259.9 01074 0
259.9 01200 6
259.9 0 6
260 0 17
260 0 2
260 0 5
260 0 5
260 0506 0
260 0766 5
260 0766 5
261.9 0 2
262.5 0 0
262.5 0 16
262.855 0585 6
263 0 3
263.15 0766 5
264.8 0486 0
264.9 01214 0
264.9 0723 0
264.9 0723 0
264.9 0993 7
265 0 0
265 0 0
265 0 0
265 01100 5
265 0 13
265 0 16
265 0 2
265 0 2
265 0 20
265 0 3
265 0625 14
265 0629 0
265 0631 5
265 0750 0
265 0800 20
265.5 0902 4
266 0795 0
266 0 8
266.88 0 6
267.56 01155 6
268 01277 5
268 0 2
268 0 3
268 0700 2
268.157 0470 2
268.5 01240 6
269 0 10
269 01045 10
269 01062 5
269 0 2
269 0 2
269 0 2
269 0 2
269 0 2
269 0 2
269 0 2
269 0 3
269 0 3
269 0 3
269 0375 2
269 0 4
269 0 5
269 0 5
269 0 5
269 0 6
269 0667 0
269 0866 5
269.9 0 0
269.9 0 20
269.9 0 4
269.9 0675 7
270 01833 0
270 0528 14
270 0 6
270 0621 6
270 0670 14
271 0866 5
271.2 0 20
272 0 3
272.118 01023 0
272.214 0759 5
273 0 13
274 0 0
274 0 3
274 0885 0
274 0899 5
274.9 0 12
275 0 0
275 0 0
275 01200 6
275 01251 10
275 01404 6
275 0 16
275 0 19
275 0 2
275 0 3
275 0454 14
275 0550 2
275 0839 10
275 0950 5
276 01013 5
276.45 0470 2
276.45 0470 2
277.566 0500 2
277.907 0 5
278 0 0
278 0 16
278 0 16
278 0776 9
278 0960 0
278.5 0775 2
278.769 0800 11
278.875 0989 5
279 0 10
279 0 10
279 01020 6
279 01045 10
279 01045 10
279 01100 5
279 0 19
279 0 2
279 0 2
279 0 2
279 0 2
279 0 3
279 0 3
279 0 4
279 0 5
279 0800 2
279 0950 0
279.9 01100 0
280 01240 10
280 0 16
280 0 19
280 0 19
280 0 2
280 0 4
280 0425 2
280 0560 0
280 0 8
280.56 01200 0
282.5 01100 0
282.9 01286 0
283.25 0455 2
284.9 0489 14
284.999 01100 2
285 0 0
285 0 0
285 01062 5
285 01100 2
285 01175 5
285 0 2
285 0 3
285 0432 2
285 0476 2
285 0 5
285 0 5
285 0716 0
285 0832 5
285 0853 0
285.324 0 20
285.506 0955 7
285.9 0 5
286.15 0500 2
288 01546 10
288 01546 7
289 0 10
